 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:91; meanValue is:94; maxValue is:98; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:48; meanValue is:48; maxValue is:49; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:50; meanValue is:69; maxValue is:89; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:15; meanValue is:56; maxValue is:98; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:12; meanValue is:52; maxValue is:93; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:48; meanValue is:54; maxValue is:61; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:27; meanValue is:45; maxValue is:64; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:25; meanValue is:27; maxValue is:30; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:54; meanValue is:60; maxValue is:66; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:4; meanValue is:42; maxValue is:80; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:46; meanValue is:71; maxValue is:96; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:5; meanValue is:38; maxValue is:72; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:56; meanValue is:58; maxValue is:60; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:9; meanValue is:14; maxValue is:19; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:33; meanValue is:56; maxValue is:80; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:22; meanValue is:32; maxValue is:43; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:5; meanValue is:48; maxValue is:91; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:39; meanValue is:57; maxValue is:75; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:25; meanValue is:49; maxValue is:73; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:63; meanValue is:68; maxValue is:74; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:79; meanValue is:88; maxValue is:97; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:15; meanValue is:33; maxValue is:52; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:15; meanValue is:51; maxValue is:88; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:38; meanValue is:60; maxValue is:83; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:20; meanValue is:47; maxValue is:75; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:40; meanValue is:59; maxValue is:79; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:60; meanValue is:65; maxValue is:70; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:31; meanValue is:42; maxValue is:54; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:7; meanValue is:35; maxValue is:64; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:0; meanValue is:6; maxValue is:12; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:67; meanValue is:69; maxValue is:71; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:14; meanValue is:28; maxValue is:43; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:30; meanValue is:51; maxValue is:72; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:8; meanValue is:41; maxValue is:74; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:13; meanValue is:40; maxValue is:68; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:15; meanValue is:37; maxValue is:60; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:7; meanValue is:35; maxValue is:63; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:52; meanValue is:65; maxValue is:79; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:25; meanValue is:26; maxValue is:27; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:31; meanValue is:36; maxValue is:42; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:12; meanValue is:12; maxValue is:12; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:12; meanValue is:34; maxValue is:57; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:12; meanValue is:27; maxValue is:42; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:64; meanValue is:70; maxValue is:77; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:2; meanValue is:10; maxValue is:18; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:26; meanValue is:62; maxValue is:99; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:14; meanValue is:37; maxValue is:60; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:20; meanValue is:53; maxValue is:87; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:73; meanValue is:78; maxValue is:83; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:14; meanValue is:46; maxValue is:78; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:61; meanValue is:64; maxValue is:67; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:63; meanValue is:77; maxValue is:92; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:5; meanValue is:44; maxValue is:84; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:34; meanValue is:55; maxValue is:76; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:59; meanValue is:73; maxValue is:88; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:88; meanValue is:92; maxValue is:96; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:13; meanValue is:35; maxValue is:58; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:1; meanValue is:43; maxValue is:86; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:13; meanValue is:49; maxValue is:85; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:53; meanValue is:64; maxValue is:75; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:69; meanValue is:72; maxValue is:76; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:41; meanValue is:51; maxValue is:62; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:44; meanValue is:55; maxValue is:67; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:26; meanValue is:27; maxValue is:28; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:29; meanValue is:32; maxValue is:35; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:58; meanValue is:67; maxValue is:76; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:0; meanValue is:45; maxValue is:90; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:16; meanValue is:54; maxValue is:93; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:13; meanValue is:17; maxValue is:22; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:40; meanValue is:44; maxValue is:48; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:93; meanValue is:96; maxValue is:99; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:83; meanValue is:87; maxValue is:91; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:9; meanValue is:47; maxValue is:85; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:17; meanValue is:36; maxValue is:56; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:14; meanValue is:37; maxValue is:61; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:36; meanValue is:55; maxValue is:75; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:14; meanValue is:32; maxValue is:51; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:6; meanValue is:16; maxValue is:26; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:62; meanValue is:77; maxValue is:92; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:54; meanValue is:73; maxValue is:93; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:35; meanValue is:63; maxValue is:91; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:28; meanValue is:57; maxValue is:86; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:6; meanValue is:13; maxValue is:21; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:6; meanValue is:26; maxValue is:46; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:27; meanValue is:43; maxValue is:59; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:9; meanValue is:35; maxValue is:62; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:37; meanValue is:58; maxValue is:79; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:14; meanValue is:46; maxValue is:78; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:14; meanValue is:34; maxValue is:55; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:22; meanValue is:26; maxValue is:31; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:38; meanValue is:46; maxValue is:54; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:27; meanValue is:58; maxValue is:89; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:30; meanValue is:56; maxValue is:83; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:44; meanValue is:61; maxValue is:79; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:35; meanValue is:59; maxValue is:83; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:67; meanValue is:77; maxValue is:87; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:24; meanValue is:29; maxValue is:34; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:58; meanValue is:67; maxValue is:77; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:88; meanValue is:89; maxValue is:91; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:61; meanValue is:63; maxValue is:65; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:4; meanValue is:25; maxValue is:47; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:21; meanValue is:39; maxValue is:57; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:33; meanValue is:41; maxValue is:50; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:44; meanValue is:69; maxValue is:95; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:12; meanValue is:29; maxValue is:47; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:79; meanValue is:80; maxValue is:82; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:52; meanValue is:74; maxValue is:97; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:73; meanValue is:85; maxValue is:98; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:7; meanValue is:27; maxValue is:48; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:7; meanValue is:28; maxValue is:50; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:79; meanValue is:86; maxValue is:94; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:45; meanValue is:59; maxValue is:73; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:46; meanValue is:48; maxValue is:50; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:27; meanValue is:50; maxValue is:74; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:4; meanValue is:33; maxValue is:62; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:13; meanValue is:48; maxValue is:83; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:29; meanValue is:54; maxValue is:80; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:49; meanValue is:59; maxValue is:69; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:27; meanValue is:41; maxValue is:56; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:29; meanValue is:44; maxValue is:60; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:46; meanValue is:62; maxValue is:78; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:13; meanValue is:14; maxValue is:16; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:19; meanValue is:51; maxValue is:83; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:64; meanValue is:76; maxValue is:88; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:63; meanValue is:69; maxValue is:76; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:1; meanValue is:8; maxValue is:16; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:45; meanValue is:49; maxValue is:54; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:13; meanValue is:35; maxValue is:57; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:54; meanValue is:57; maxValue is:60; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:82; meanValue is:86; maxValue is:90; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:56; meanValue is:66; maxValue is:77; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:9; meanValue is:20; maxValue is:31; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:15; meanValue is:27; maxValue is:39; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:34; meanValue is:53; maxValue is:72; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:3; meanValue is:10; maxValue is:17; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:26; meanValue is:37; maxValue is:48; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:32; meanValue is:49; maxValue is:66; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:71; meanValue is:84; maxValue is:98; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:18; meanValue is:28; maxValue is:39; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:50; meanValue is:59; maxValue is:68; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:55; meanValue is:61; maxValue is:67; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:44; meanValue is:55; maxValue is:66; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:11; meanValue is:35; maxValue is:60; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:31; meanValue is:62; maxValue is:93; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:86; meanValue is:88; maxValue is:90; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:15; meanValue is:42; maxValue is:69; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:0; meanValue is:32; maxValue is:64; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:20; meanValue is:23; maxValue is:27; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:26; meanValue is:48; maxValue is:70; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:92; meanValue is:95; maxValue is:99; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:3; meanValue is:43; maxValue is:83; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:21; meanValue is:34; maxValue is:48; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:48; meanValue is:56; maxValue is:64; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:73; meanValue is:84; maxValue is:95; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:49; meanValue is:64; maxValue is:80; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:9; meanValue is:31; maxValue is:54; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:30; meanValue is:39; maxValue is:49; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:22; meanValue is:49; maxValue is:77; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:44; meanValue is:64; maxValue is:85; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:68; meanValue is:75; maxValue is:82; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:34; meanValue is:66; maxValue is:98; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:15; meanValue is:43; maxValue is:72; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:38; meanValue is:68; maxValue is:98; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:36; meanValue is:64; maxValue is:93; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:16; meanValue is:18; maxValue is:20; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:35; meanValue is:47; maxValue is:59; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:0; meanValue is:47; maxValue is:94; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:44; meanValue is:55; maxValue is:67; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:0; meanValue is:14; maxValue is:29; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:75; meanValue is:80; maxValue is:86; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:36; meanValue is:42; maxValue is:48; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:8; meanValue is:25; maxValue is:42; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:24; meanValue is:60; maxValue is:96; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:36; meanValue is:39; maxValue is:42; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:4; meanValue is:18; maxValue is:33; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:56; meanValue is:65; maxValue is:74; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:58; meanValue is:65; maxValue is:73; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:49; meanValue is:64; maxValue is:80; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:13; meanValue is:20; maxValue is:28; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:34; meanValue is:63; maxValue is:93; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:5; meanValue is:23; maxValue is:41; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:88; meanValue is:93; maxValue is:99; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:7; meanValue is:8; maxValue is:10; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:29; meanValue is:52; maxValue is:76; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:17; meanValue is:21; maxValue is:25; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:4; meanValue is:47; maxValue is:91; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:58; meanValue is:63; maxValue is:69; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:27; meanValue is:47; maxValue is:68; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:24; meanValue is:52; maxValue is:81; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:9; meanValue is:21; maxValue is:33; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:5; meanValue is:44; maxValue is:84; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:39; meanValue is:68; maxValue is:97; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:56; meanValue is:58; maxValue is:61; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:43; meanValue is:69; maxValue is:95; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:11; meanValue is:55; maxValue is:99; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:7; meanValue is:22; maxValue is:38; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:32; meanValue is:61; maxValue is:91; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:21; meanValue is:37; maxValue is:54; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:27; meanValue is:46; maxValue is:66; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:16; meanValue is:49; maxValue is:83; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:61; meanValue is:64; maxValue is:67; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:26; meanValue is:31; maxValue is:36; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:7; meanValue is:31; maxValue is:56; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:47; meanValue is:52; maxValue is:57; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:45; meanValue is:66; maxValue is:87; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:23; meanValue is:51; maxValue is:79; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:12; meanValue is:53; maxValue is:95; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:12; meanValue is:31; maxValue is:51; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:47; meanValue is:59; maxValue is:71; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:8; meanValue is:12; maxValue is:16; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:1; meanValue is:34; maxValue is:68; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:3; meanValue is:21; maxValue is:40; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:45; meanValue is:55; maxValue is:66; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:25; meanValue is:61; maxValue is:98; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:80; meanValue is:83; maxValue is:86; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:45; meanValue is:47; maxValue is:49; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:3; meanValue is:25; maxValue is:47; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:44; meanValue is:56; maxValue is:69; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:33; meanValue is:48; maxValue is:63; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:17; meanValue is:42; maxValue is:67; 
 sensorId is:0; sensorName is: 'heatSensor'; minvalue is:13; meanValue is:16; maxValue is:20; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:23; meanValue is:38; maxValue is:53; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:31; meanValue is:43; maxValue is:56; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:88; meanValue is:93; maxValue is:98; 
 sensorId is:1; sensorName is: 'moveSensor'; minvalue is:43; meanValue is:67; maxValue is:91; 
 sensorId is:2; sensorName is: 'lightSensor'; minvalue is:45; meanValue is:49; maxValue is:53; 
